entry_id,structure_file,structure_provenance,compound_name,system_class,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model,open_access,removed_reason,removed_at
W1975511274-h,,,Ru-complex-2 (second ruthenium complex of the benchmark set; structure given only in the paper's Figure 1),molecule,,Ru,,,not identified in the extracted text (shown in Figure 1),"Cs (states labelled A', DFT/MRCI run in an Abelian group)",geometry taken from the original benchmark paper (Ref 33),DFT/MRCI (individually selecting multireference CI on a KS-BHLYP reference with DFT-corrected diagonal Hamiltonian matrix elements),TURBOMOLE (initial KS-BHLYP calculations) plus the DFT/MRCI code; Gaussian09 for the TD-DFT comparisons,def2-TZVP,,,,10,10,initial reference configurations generated by promoting up to two electrons within an active space of ten electrons in ten orbitals; configurations then discarded by an energy-based selection criterion with a 1.0 hartree threshold,"(10,10) reference space, single choice applied uniformly across the whole benchmark set; up to two electrons promoted within it to build the initial reference configurations, followed by energy-based configuration selection (threshold 1.0 hartree). Standard DFT/MRCI parameters for singlet and triplet states",1,,,"DFT/MRCI vertical excitation energy: 2 1A' (1MLCT) 2.71 eV, oscillator strength 0.36. RASPT2(18,18) comparison from Ref 33: 2.84 eV (0.22). TD-DFT comparisons: TD-CAM-B3LYP 3.50 (0.40), TD-PBE0 2.78 (0.34), TD-PBE 2.12 (0.36)",Only a single MLCT state is tabulated for this complex,"Escudero & Thiel, J. Chem. Phys. 140, 194105 (2014)",10.1063/1.4875810,2014,"Only the DFT/MRCI numbers are this paper's own work; every CASPT2, RASPT2, SAC-CI and experimental value in the same tables is taken from the cited literature (table footnotes) and is recorded here only as the comparison the authors drew, never as this paper's result. active_space_nel/norb hold the (10,10) DFT/MRCI reference space, which is a selecting-CI reference space rather than a CASSCF active space - see active_space_orbital_description. Slash-separated DFT/MRCI energies are the C2v components into which a degenerate T or E state of the true point group decomposes (T1 -> a1+b1+b2, T2 -> a2+b1+b2, E -> a1+a2), as the paper states. No SOC or spin-spin treatment and no relativistic Hamiltonian is mentioned, so those flags are empty. compound_name, formula, ligand_set, metal_ox_state and d_electron_count are left as the paper gives them: the complex is referred to throughout only as 'Ru-complex-2' and its structure appears solely in Figure 1, which the text extraction cannot read. Nothing is inferred.",MRCI,llm_mining,claude-opus-5,no,'Ru-complex-2' - the row itself records that the structure is only in a figure,2026-08-19T18:17:28+00:00
W2139367368-a,,,"slightly reduced G2-1 thermochemistry test set (123 of the 125 standard energy comparisons; ethane and disilane dropped because their [14,14] full-valence spaces were too demanding)",molecule,,none,,,,,"Gn model-chemistry protocol geometries (the Gn recipe's optimized structures with ZPVE), unchanged from the single-reference G2/G3 definitions","multireference Gn model chemistries: full-valence CASSCF (CASSCF/FORS) reference with CASPT2 as the MR-MP2 component and MRCI+Q as the higher-correlation component; MCQDPT2 also examined. Twelve MR-Gn variants defined, including MR-G2(MP2,SVP), MR-G2(MP2), MR-G3(MP2), MR-G2/MRCI+Q and MR-G3/MRCI+Q",GAMESS,"Gn basis-set sequence: 6-311G(d,p) and 6-311+G(3df,2p) for the additivity steps, plus the SVP variants",,,,,,"full-valence complete active space - all valence electrons in all valence orbitals - applied uniformly to every species. Stated examples: methane [8,8], ammonia [8,7], water [8,6]; ethane and disilane would need [14,14]","no build-up: the full-valence CASSCF/FORS space is fixed by the species, chosen so the procedure is well defined for any molecule at the cost of steep scaling with size",,,,"Thermochemistry rather than an excited-state manifold. Mean absolute deviations from experiment over the 123 comparisons (kcal/mol): MR-G2(MP2,SVP) 1.41, MR-G2(MP2) 1.54, MR-G3(MP2) 1.23, against 1.60, 1.59 and 1.19 for the single-reference G2(MP2,SVP), G2(MP2) and G3(MP2). Testing the additivity assumption with large-basis MRCI+Q+ZPVE+HLC gives MADs of 1.84 (MR-G2/MRCI+Q) and 1.58 (MR-G3/MRCI+Q).","The higher-level correction has the G2 form HLC = -A*nb - B*na with B fixed at 0.19 mHartree to make the hydrogen atom exact and A fitted to minimize the MAD over the 123 comparisons, following Curtiss's minimization procedure.","Solling, Smith, Radom, Freitag, Gordon, J. Chem. Phys. (2001)",10.1063/1.1411998,2001,"Mined from the OA text. Condensed to a single row for the whole test set, following the treatment of other benchmark-set papers: the active space is a uniform rule (full valence) rather than a per-molecule choice, and the reported numbers are set-wide MADs, not per-compound results. active_space_nel/norb left empty because the space varies by species; the three examples the paper states verbatim are kept in the orbital description. multiplicity fields empty - the paper reports heats of formation and other thermochemical comparisons, not state manifolds.",CASPT2; MRCI,llm_mining,claude-opus-5,yes,G2-1 thermochemistry test set; the only species named are the two dropped ones,2026-08-19T18:17:28+00:00
W3187986025-a,,,"complex 2, Tb(III) site",molecule,,Tb,+3,4f8,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,8,7,seven Tb 4f orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 2, Tb(III) site' - paper-internal label",2026-08-19T18:17:28+00:00
W3187986025-b,,,"complex 3, Dy(III) site",molecule,,Dy,+3,4f9,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,9,7,seven Dy 4f orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 3, Dy(III) site' - paper-internal label",2026-08-19T18:17:28+00:00
W3187986025-c,,,"complex 4, Dy(III) site",molecule,,Dy,+3,4f9,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,9,7,seven Dy 4f orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 4, Dy(III) site' - paper-internal label",2026-08-19T18:17:28+00:00
W3187986025-d,,,"complex 4, Co(II) site",molecule,,Co,+2,3d7,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,7,5,five Co 3d orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 4, Co(II) site' - paper-internal label",2026-08-19T18:17:28+00:00
W3187986025-e,,,"complex 5, Ho(III) site",molecule,,Ho,+3,4f10,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,10,7,seven Ho 4f orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 5, Ho(III) site' - paper-internal label",2026-08-19T18:17:28+00:00
W3187986025-f,,,"complex 5, Co(II) site",molecule,,Co,+2,3d7,,,Experimental X-ray geometries partitioned into magnetically diluted single-ion fragments for ab initio anisotropy calculations.,SA-CASSCF; RASSI-SO; SINGLE_ANISO; POLY_ANISO,OpenMolcas 19.11,"ANO-RCC VQZP on Ln, VTZP on Co and donor atoms, MB on remaining atoms",DKH,yes,,7,5,five Co 3d orbitals,Site-specific CAS uses five Co 3d or seven Ln 4f orbitals with the corresponding ion electron count; RASSI-SO/SINGLE_ANISO treats Ln sites and DFT supplies exchange parameters.,,,,,,Magnetic anisotropy in heterometallic lanthanide/cobalt complexes (2021),10.1039/d1dt02038b,2021,"GPT-5.6 comprehensive reread (2026-08-19): read all 17 article pages, including synthesis/order-of-addition effects, five crystal structures, DC/AC magnetism, DFT exchange, all Co/Ln CASSCF fragments, conclusions, and references. The cited ESI is not local. Lanthanide contraction and reagent sequence switch tetranuclear versus pentanuclear products; Dy permits both. Single-ion calculations explain anisotropy/relaxation but use magnetically diluted fragments, so the AIMDb rows are distinct metal sites/models rather than six isolated bulk compounds. Source PDF MD5 0f6710b136cd1d5d8155ba6cfa85c6c7.",none,llm_mining,gpt-5.6,yes,"'complex 5, Co(II) site' - paper-internal label",2026-08-19T18:17:28+00:00
W4416239203-c,,,benchmark molecule 3,molecule,,none,,,,,"S0, S1, and T1 geometries optimized at (TD-)M06-2X/def2-TZVP; S1 structures for molecules 1-4 also checked at RMS-CASPT2/cc-pVDZ",SA(5)-CASSCF followed by RMS-CASPT2,OpenMolcas for RMS-CASPT2/CPCM; Gaussian 16 for DFT geometries; Multiwfn for frontier-orbital exchange integrals,ANO-R2 for multireference energies; cc-pVDZ for RMS-CASPT2 S1 geometry checks,,no,,12,13,"Tailored 12-electron, 13-orbital pi space for molecule 3",Molecule-specific active space converged with SA(5)-CASSCF before RMS-CASPT2 dynamic-correlation correction,"1,3",5-state averages for singlet and triplet calculations,1,SA-CASSCF/RMS-CASPT2 adiabatic DeltaE_ST = -412/-143 meV; frontier exchange integral 128 meV.,Both SA-CASSCF and RMS-CASPT2 predict inverted S1/T1 gaps; dynamic correlation reduces the magnitude because it stabilizes T1 more strongly.,On the Role of Electronic Correlation and State‐Specific Environment Polarization in Singlet–Triplet Gap Inversion (2025),10.1002/jcc.70267,2025,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 38 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: SA-CASSCF/RMS-CASPT2 adiabatic DeltaE_ST = -578/-199 meV; frontier exchange integral 129 meV. SA-CASSCF/RMS-CASPT2 adiabatic DeltaE_ST = -440/-55 meV; frontier exchange integral 131 meV. Both SA-CASSCF and RMS-CASPT2 predict inverted S1/T1 gaps; dynamic correlation reduces the magnitude because it stabilizes T1 more strongly. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 aa83d2819e3e218574d5796ae0863d94. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2,llm_mining,gpt-5.6,yes,"'benchmark molecule 3' - the paper's molecules 1,2,4,5 are named, 3 is not",2026-08-19T18:17:28+00:00
W2745480307-b,,,compound 6,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 6' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-c,,,compound 7,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 7' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-d,,,compound 8,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 8' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-e,,,compound 9,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 9' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-f,,,compound 10,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 10' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-g,,,compound 11,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 11' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-h,,,compound 12,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 12' - paper-internal label,2026-08-19T18:17:28+00:00
W2745480307-i,,,compound 13,molecule,,,,,,,constrained central/peripheral C-C scans with CASSCF optimization,CASSCF/CASPT2,OpenMolcas,cc-pVDZ,,no,no,2,2,central C1-C4 sigma bonding and sigma-star antibonding orbitals,"Central-bond scan with the explicitly reported CAS(2e,2o).",1,,1,Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals.,"CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives.",The Influence of Multiple Fluorination on the Ring Opening of [2.2.2]Propellane,10.5562/cca3172,2017,"GPT-5.6 audit (2026-08-19; records 2400-2800): read all 10 pages of the complete local article, including methods, active-space/system definitions, results, tables/figures, and conclusions. No separate local supporting-information file was available; unsupported SI-only details remain blank. Audit summary: Central sigma/sigma-star occupation inverts during ring opening; larger space captures peripheral Grob diradicals. CASPT2-refined scans show how progressive fluorination reshapes propellane ring-opening barriers and can eliminate the open-isomer well, explaining the stability of heavily fluorinated derivatives. Row-specific method, active-space, and result fields were checked without inventing missing values. Source-text MD5 78363f3a9ee619317e0ebcec8cedcf9f. Prior structured note retained: Manually mined by GPT-5.6 from a comprehensive reading of the supplied full text on 2026-08-06; only explicitly reported numerical active-electron/active-orbital pairs were retained. Field-rich GPT-5.6 audit added source-supported geometry, orbital, state, protocol and result context on 2026-08-06.",CASPT2,llm_mining,gpt-5.6,yes,'compound 13' - paper-internal label,2026-08-19T18:17:28+00:00
