entry_id,structure_file,compound_name,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,ground_state_term,low_lying_states_eV,Other,reference_short,reference_doi,year,notes
W2794279393-a,W2794279393-a.xyz,6-aminopyrimidine,C4H5N3,none,,,,,B3LYP/6-31G* optimization (Gaussian 09); Wigner-distribution initial conditions for dynamics,"SA-3-CASSCF(10,8) (S0/S1/S2 state-averaged) energies and gradients for Zhu-Nakamura surface-hopping nonadiabatic dynamics; ML kernel-ridge-regression PESs trained on the CASSCF surfaces",MOLPRO 2012.1 (CASSCF); Gaussian 09 (geometry),,,,,10,8,,"(10,8) adopted unchanged from earlier 6-aminopyrimidine dynamics study (their ref 82) for consistency",1,3,1,,,ML-PES reproduces CASSCF surfaces except near the S2/S1 crossing barrier region,"Hu, Xie, Li, Li, Lan, J. Phys. Chem. Lett. (2018)",10.1021/acs.jpclett.8b00684,2018,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). CASSCF basis set not explicitly stated in extracted text for the CASSCF step (6-31G* appears only for the B3LYP initial conditions) -> left empty; active-space composition not described -> left empty. Value of this row is the (10,8)/SA-3 precedent for pyrimidine-base photodynamics; structure_file is a generated PubChem conformer (PubChem CID 68958), not the paper's geometry"
W2085525001-a,,FeCO,FeCO,Fe,0,d8 (as Fe s1d7/s0d8 configurations discussed; ox state 0),single CO (sigma-donor/pi-acceptor),,"X-C and C-O optimized at CASSCF (Table II); CSOV analyses at common geometry R(X-C)=3.477, R(C-O)=2.173 bohr (expt Ni(CO)4 values)","CASSCF (metal d-pi electrons in 2 orbitals: d-pi + d'-pi acquiring CO 2pi* character; open-shell sigma/delta orbitals also active, configuration counts restricted per symmetry) and '+1pi CASSCF' (4 pi orbitals: d-pi, d'-pi, 1pi, 2pi*); CSOV bonding decomposition",,"Wachters metal (14s11p6d/8s6p4d); C,O 4s3p-class contractions",,,,,,"pi-only correlating spaces described qualitatively; exact (nel,norb) per state not stated as clean integers -> numeric fields left empty",d-pi 2-orbital space first; '+1pi' 4-orbital pi space to test correlation adequacy (CSOV done only with the smaller space),"5,3",,5,5Sigma-,CASSCF De: 5Sigma- 0.98 eV (X-C 3.60 bohr); 3Sigma- De 1.24 eV (X-C 3.42); +1pi CASSCF 5Sigma- De 0.80 eV,C-O elongation on binding ~0.06-0.08 bohr; CSOV decomposition of sigma repulsion / pi backdonation is the paper's main analysis,"Bauschlicher, Bagus, Nelin, Roos, J. Chem. Phys. 85, 354 (1986)",10.1063/1.451610,1986,"Mined from OA text by claude-casscf-data_mining. 1986 scan, OCR partially garbled (state symbols reconstructed: ':l-'=Sigma-); software not stated; early metal-carbonyl pi-backbonding CASSCF precedent, active spaces qualitative"
W2085525001-b,,NiCO,NiCO,Ni,0,,single CO (sigma-donor/pi-acceptor),,"X-C and C-O optimized at CASSCF (Table II); CSOV analyses at common geometry R(X-C)=3.477, R(C-O)=2.173 bohr (expt Ni(CO)4 values)","CASSCF (metal d-pi electrons in 2 orbitals: d-pi + d'-pi acquiring CO 2pi* character; open-shell sigma/delta orbitals also active, configuration counts restricted per symmetry) and '+1pi CASSCF' (4 pi orbitals: d-pi, d'-pi, 1pi, 2pi*); CSOV bonding decomposition",,"Wachters metal (14s11p6d/8s6p4d); C,O 4s3p-class contractions",,,,,,"pi-only correlating spaces described qualitatively; exact (nel,norb) per state not stated as clean integers -> numeric fields left empty",d-pi 2-orbital space first; '+1pi' 4-orbital pi space to test correlation adequacy (CSOV done only with the smaller space),"1,3",,1,1Sigma+,"CASSCF De: 1Sigma+ 1.11 eV (X-C 3.20 bohr, C-O 2.20)",3d-delta open shell handled as 3d(x2-y2) only in active space for 3-Delta state; larger sigma-space correlation noted for low-spin 1Sigma+,"Bauschlicher, Bagus, Nelin, Roos, J. Chem. Phys. 85, 354 (1986)",10.1063/1.451610,1986,"Mined from OA text by claude-casscf-data_mining. 1986 scan, OCR partially garbled (state symbols reconstructed: ':l-'=Sigma-); software not stated; early metal-carbonyl pi-backbonding CASSCF precedent, active spaces qualitative"
W2085525001-c,,CuCO,CuCO,Cu,0,,single CO (sigma-donor/pi-acceptor),,"X-C and C-O optimized at CASSCF (Table II); CSOV analyses at common geometry R(X-C)=3.477, R(C-O)=2.173 bohr (expt Ni(CO)4 values)","CASSCF (metal d-pi electrons in 2 orbitals: d-pi + d'-pi acquiring CO 2pi* character; open-shell sigma/delta orbitals also active, configuration counts restricted per symmetry) and '+1pi CASSCF' (4 pi orbitals: d-pi, d'-pi, 1pi, 2pi*); CSOV bonding decomposition",,"Wachters metal (14s11p6d/8s6p4d); C,O 4s3p-class contractions",,,,,,"pi-only correlating spaces described qualitatively; exact (nel,norb) per state not stated as clean integers -> numeric fields left empty",d-pi 2-orbital space first; '+1pi' 4-orbital pi space to test correlation adequacy (CSOV done only with the smaller space),2,,2,2Sigma+,,"CuCO analyzed mainly via CSOV (SCF-level, per their earlier Ref 6 CI study); CASSCF De not cleanly extractable from OCR","Bauschlicher, Bagus, Nelin, Roos, J. Chem. Phys. 85, 354 (1986)",10.1063/1.451610,1986,"Mined from OA text by claude-casscf-data_mining. 1986 scan, OCR partially garbled (state symbols reconstructed: ':l-'=Sigma-); software not stated; early metal-carbonyl pi-backbonding CASSCF precedent, active spaces qualitative"
W2527752769-a,,"hydroxide-bridged five-coordinate Dy(III) dimer (SMM, compound 1; CASSCF on mononuclear Dy fragment with second Dy replaced by diamagnetic Lu(III))",,Dy,III,f9,"bridging hydroxide + O-donors, five-coordinate (short Ln-O bonds noted)",,"X-ray structure, simplified fragment","CASSCF (MOLCAS; Kramers-doublet energies and magnetic moments -> spin-orbit treatment per the standard MOLCAS SMM methodology, details deferred to ESI)",MOLCAS 7.8,,,yes,,11,8,"expanded space: 4f shell + contribution of strongly coordinating O atoms; conventional 4f-only reference space was CAS(9,7)","(9,7) 4f-only first - underestimated the barrier (KD3 gap 661.8 K vs Arrhenius Ueff 754 K, unphysical ordering); expanded to (11,8) adding coordinated-atom contribution (hardware-limited) -> gap 763 K, consistent with the dual-relaxation-fit Orbach barrier",6H15/2 Kramers doublets (sextet parent),,,,"thermal-assisted tunnelling through KD3: gap 661.8 K = 0.0570 eV at CAS(9,7); 763 K = 0.0658 eV at CAS(11,8) [K->eV conversion mine]; expt Ueff 754 K (524 cm-1), tau0 3.5e-12 s",record thermal relaxation barrier among lanthanide-only dimers at publication; relaxation via second-excited Kramers doublet in both active spaces,"Xiong et al., Chem. Sci. (2017)",10.1039/c6sc03621j,2017,"Mined from OA text by claude-casscf-data_mining. LANTHANIDE: outside the policy's literal TM+organic scope, extracted for its active-space-expansion precedent (logged judgment). Basis/RASSI details in ESI (RSC-hosted, not fetchable via figshare/PMC) -> basis empty; ground-term fields empty (KD structure, not LS term). K->eV: 1 K = 8.6173e-5 eV"
W2099962686-a,W2099962686-a.xyz,benzene,C6H6,none,,,,D6h,"CASSCF-optimized (ground state), 6-311++G(d,p)","SA/vertical-state CASSCF; electron-delocalization and aromaticity indices (DI, PDI, FLU, Iring, MCI) for ground and low-lying excited states",Gaussian 03,"6-311++G(d,p)",,,,6,6,three pairs of pi/pi* bonding-antibonding orbitals (pi-only excitations),,"1,3,5 (singlets, triplets, quintets analyzed for the rings)",,1,,,,"Feixas, Vandenbussche, Bultinck, Matito, Sola, Phys. Chem. Chem. Phys. (2011)",10.1039/c1cp22239b,2011,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). Vertical excitation energies are in the paper's Tables 2/4/5 but table layout shredded by PDF extraction -> not transcribed (no guessing); value of these rows is the per-molecule active-space definitions for excited-state aromaticity work; structure_file is a generated PubChem conformer (PubChem CID 241), not the paper's geometry"
W2099962686-b,W2099962686-b.xyz,cyclobutadiene,C4H4,none,,,,D2h,"CASSCF-optimized (ground state), 6-311++G(d,p)","SA/vertical-state CASSCF; electron-delocalization and aromaticity indices (DI, PDI, FLU, Iring, MCI) for ground and low-lying excited states",Gaussian 03,"6-311++G(d,p)",,,,4,4,four pi orbitals,,"1,3,5 (singlets, triplets, quintets analyzed for the rings)",,1,,,,"Feixas, Vandenbussche, Bultinck, Matito, Sola, Phys. Chem. Chem. Phys. (2011)",10.1039/c1cp22239b,2011,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). Vertical excitation energies are in the paper's Tables 2/4/5 but table layout shredded by PDF extraction -> not transcribed (no guessing); value of these rows is the per-molecule active-space definitions for excited-state aromaticity work; structure_file is a generated PubChem conformer (PubChem CID 136879), not the paper's geometry"
W2099962686-c,W2099962686-c.xyz,cyclooctatetraene,C8H8,none,,,,D4h (planar form analyzed),"CASSCF-optimized (ground state), 6-311++G(d,p)","SA/vertical-state CASSCF; electron-delocalization and aromaticity indices (DI, PDI, FLU, Iring, MCI) for ground and low-lying excited states",Gaussian 03,"6-311++G(d,p)",,,,8,8,eight pi orbitals,,"1,3,5 (singlets, triplets, quintets analyzed for the rings)",,1,,,,"Feixas, Vandenbussche, Bultinck, Matito, Sola, Phys. Chem. Chem. Phys. (2011)",10.1039/c1cp22239b,2011,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). Vertical excitation energies are in the paper's Tables 2/4/5 but table layout shredded by PDF extraction -> not transcribed (no guessing); value of these rows is the per-molecule active-space definitions for excited-state aromaticity work; structure_file is a generated PubChem conformer (PubChem CID 637866), not the paper's geometry"
W2099962686-d,W2099962686-d.xyz,ethylene,C2H4,none,,,,,"CASSCF-optimized (ground state), 6-311++G(d,p)","SA/vertical-state CASSCF; electron-delocalization and aromaticity indices (DI, PDI, FLU, Iring, MCI) for ground and low-lying excited states",Gaussian 03,"6-311++G(d,p)",,,,4,4,sigma/sigma* and pi/pi* C-C pairs,,1,,1,,,,"Feixas, Vandenbussche, Bultinck, Matito, Sola, Phys. Chem. Chem. Phys. (2011)",10.1039/c1cp22239b,2011,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). Vertical excitation energies are in the paper's Tables 2/4/5 but table layout shredded by PDF extraction -> not transcribed (no guessing); value of these rows is the per-molecule active-space definitions for excited-state aromaticity work; structure_file is a generated PubChem conformer (PubChem CID 6325), not the paper's geometry"
W2099962686-e,W2099962686-e.xyz,acetylene,C2H2,none,,,,,"CASSCF-optimized (ground state), 6-311++G(d,p)","SA/vertical-state CASSCF; electron-delocalization and aromaticity indices (DI, PDI, FLU, Iring, MCI) for ground and low-lying excited states",Gaussian 03,"6-311++G(d,p)",,,,6,6,C-C sigma/sigma* pair + in-plane and out-of-plane pi/pi* degenerate pairs,,1,,1,,,,"Feixas, Vandenbussche, Bultinck, Matito, Sola, Phys. Chem. Chem. Phys. (2011)",10.1039/c1cp22239b,2011,"Mined from OA text by claude-casscf-data_mining. Organic (metal_center=none). Vertical excitation energies are in the paper's Tables 2/4/5 but table layout shredded by PDF extraction -> not transcribed (no guessing); value of these rows is the per-molecule active-space definitions for excited-state aromaticity work; structure_file is a generated PubChem conformer (PubChem CID 6326), not the paper's geometry"
