doi,doi_link,title,year,host,oa_pdf_url,block_reason,openalex_key,detail
10.1021/acs.inorgchem.5c02893,https://doi.org/10.1021/acs.inorgchem.5c02893,Electronic Structure and Hypercorrole Features of Deprotonated Free-Base and Reduced Copper Corroles,2025,(none),,unknown,W4415982472,
10.1021/acs.inorgchem.5c03327,https://doi.org/10.1021/acs.inorgchem.5c03327,Fe(II)-Porphyrin Catalysts Emulate Enzymatic Structural Features for C–H Amination Reactions,2025,(none),,unknown,W4413005179,
10.1021/acs.inorgchem.5c03532,https://doi.org/10.1021/acs.inorgchem.5c03532,"In Silico
                    Investigation to Rationalize the Effect of Weak Donor versus Strong Donor Halides as Bridges in Dinuclear Dysprosium(III) Single-Molecule Magnets",2025,(none),,unknown,W4415341061,
10.1021/acs.inorgchem.5c03903,https://doi.org/10.1021/acs.inorgchem.5c03903,"Unravelling Magneto-Structural Correlations in Pseudo
                    D
                    
                      5
                      h
                      /6
                      h
                    
                    -Symmetric Dy(III) Single-Molecule Magnets",2025,(none),,unknown,W4417274606,
10.1021/acs.inorgchem.5c03929,https://doi.org/10.1021/acs.inorgchem.5c03929,Synthesis &amp; Magnetic Properties of an Antimony Chelate (‘XantSb2’) Supported Cobalt(II): Rare Example of a 5p|3d Paramagnetic Complex,2025,(none),,unknown,W4414553927,
10.1021/acs.inorgchem.5c03943,https://doi.org/10.1021/acs.inorgchem.5c03943,"Peroxide Ligands Support Tetranuclear Lanthanide Ensembles: Synthesis, Structure, Magnetism, and Theoretical Studies",2025,(none),,unknown,W4416178400,
10.1021/acs.inorgchem.6c01030,https://doi.org/10.1021/acs.inorgchem.6c01030,"Implicating the Role of Enhanced Oxyl Attribute in Facilitating Exceptional C–H Activation by a [Co
                    2
                    III,IV
                    (μ-O)
                    2
                    ] Diamond-Core Complex: A Theoretical Perspective",2026,(none),,unknown,W7163070452,
10.1021/acs.jctc.5c00190.s001,https://doi.org/10.1021/acs.jctc.5c00190.s001,Second-Order CompleteActive Space Perturbation Theory(CASPT2) and <i>N</i>‑Electron Valence State PerturbationTheory (NEVPT2) Based on Adaptive Sampling Configuration InteractionSelf-Consistent Field (ASCI-SCF),2025,(none),,no OA PDF URL known,W7111002894,no OA URL in index
10.1021/acs.jctc.5c00899.s001,https://doi.org/10.1021/acs.jctc.5c00899.s001,MC-PDFT NuclearGradients and L‑PDFT Energieswith Meta and Hybrid Meta On-Top Functionals for Ground- and Excited-StateGeometry Optimization and Vertical Excitation Energies,2025,(none),,no OA PDF URL known,W7110985523,no OA URL in index
10.1021/acs.jctc.5c00899.s002,https://doi.org/10.1021/acs.jctc.5c00899.s002,MC-PDFT NuclearGradients and L‑PDFT Energieswith Meta and Hybrid Meta On-Top Functionals for Ground- and Excited-StateGeometry Optimization and Vertical Excitation Energies,2025,(none),,no OA PDF URL known,W7111042252,no OA URL in index
10.1021/acs.jctc.5c01321,https://doi.org/10.1021/acs.jctc.5c01321,MC25: An Accurate Meta Pair-Density Functional for Multiconfiguration Pair-Density Functional Theory and Linearized Pair-Density Functional Theory,2025,(none),,unknown,W4415705632,
10.1021/acs.jctc.5c01333,https://doi.org/10.1021/acs.jctc.5c01333,Capturing Electron Correlation with Machine Learning through a Data-Driven CASPT2 Framework,2025,(none),,unknown,W4415431826,
10.1021/acs.jctc.5c01336,https://doi.org/10.1021/acs.jctc.5c01336,Density Matrix Embedding Theory-Based Multiconfigurational Quantum Chemistry Approach to Lanthanide Single-Ion Magnets,2025,(none),,unknown,W4414624827,
10.1021/acs.jctc.5c01411.s002,https://doi.org/10.1021/acs.jctc.5c01411.s002,A Benchmark Databasefor Spin-Flip Gap Calculationsin Single- and Multireference Systems Using ΔDFT and Beyond,2025,(none),,no OA PDF URL known,W7110799334,no OA URL in index
10.1021/acs.joc.6c01030,https://doi.org/10.1021/acs.joc.6c01030,Spiro-Induced Strain as a Design Principle for Long-Lived Singlet Diradicals with π-Single Bond Character,2026,(none),,unknown,W7165173266,
10.1021/acs.joc.9b01197,https://doi.org/10.1021/acs.joc.9b01197,Detection and Identification of Reaction Intermediates in the Photorearrangement of Pyridazine <i>N</i>-Oxide: Discrepancies between Experiment and Theory,2019,(none),,no fetchable PDF and no Europe PMC full text,W2958737176,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/acs.jpca.1c07108,https://doi.org/10.1021/acs.jpca.1c07108,Theoretical Studies on the Excited-State Decay Mechanism of Homomenthyl Salicylate in a Gas Phase and an Acetonitrile Solution,2021,(none),,unknown,W4200113171,
10.1021/acs.jpca.1c09150,https://doi.org/10.1021/acs.jpca.1c09150,Large Inverted Singlet–Triplet Energy Gaps Are Not Always Favorable for Triplet Harvesting: Vibronic Coupling Drives the (Reverse) Intersystem Crossing in Heptazine Derivatives,2021,(none),,no OA PDF URL known,W3211816253,no OA URL in index
10.1021/acs.jpca.4c08520,https://doi.org/10.1021/acs.jpca.4c08520,Quantum Mechanics/Molecular Mechanics Studies on the Excited-State Relaxation Mechanisms of Cytidine Analogues: 2′-Deoxy-5-Methylcytidine and 2′-Deoxy-5-Hydroxymethylcytidine in Aqueous Solution,2025,(none),,unknown,W4409642959,
10.1021/acs.jpca.5c00196.s002,https://doi.org/10.1021/acs.jpca.5c00196.s002,"Infrared MultiplePhoton Dissociation Spectroscopyof the H–H Stretching Mode and Low-Lying Electronic Transitionsin Fe<sup>+</sup>(H<sub>2</sub>)<sub>1,2</sub> and Fe<sup>+</sup>(D<sub>2</sub>)<sub>1,2</sub>",2025,(none),,no OA PDF URL known,W7111412995,no OA URL in index
10.1021/acs.jpca.5c01912,https://doi.org/10.1021/acs.jpca.5c01912,Mechanism of Chemiluminescence in the Air Afterglow Reaction,2025,(none),,unknown,W4410244095,
10.1021/acs.jpca.5c02571,https://doi.org/10.1021/acs.jpca.5c02571,Theoretical Prediction of the Magnetic Blocking Temperature of Dysprosium-Based Metallofullerene Single-Molecule Magnets,2025,(none),,unknown,W4413994610,
10.1021/acs.jpca.5c03028,https://doi.org/10.1021/acs.jpca.5c03028,Nonunitary Variational Quantum Eigensolver with the Localized Active Space Method and Cost Mitigation,2025,(none),,unknown,W4413309593,
10.1021/acs.jpca.5c03032,https://doi.org/10.1021/acs.jpca.5c03032,Beyond Born–Oppenheimer Constructed Diabatic Potential Energy Surfaces for H3: Adiabatic and Diabatic Reaction Probabilities,2025,(none),,unknown,W4412094189,
10.1021/acs.jpca.5c03032.s002,https://doi.org/10.1021/acs.jpca.5c03032.s002,Beyond Born–OppenheimerConstructed DiabaticPotential Energy Surfaces for H<sub>3</sub>: Adiabatic and DiabaticReaction Probabilities,2025,(none),,no fetchable PDF and no Europe PMC full text,W7111125933,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/acs.jpca.5c04699.s002,https://doi.org/10.1021/acs.jpca.5c04699.s002,Time-DependentMulticonfigurational Short-Range DensityFunctional Theory with Generalized Valence Bond Wave Functions,2025,(none),,no fetchable PDF and no Europe PMC full text,W7111061770,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/acs.jpca.5c04929,https://doi.org/10.1021/acs.jpca.5c04929,Quantum Mechanics/Molecular Mechanics Study on the Excited-State Relaxation Pathways of 2′-Deoxy-5-Fluorocytidine in Aqueous Solution,2025,(none),,unknown,W4415901453,
10.1021/acs.jpca.5c05370,https://doi.org/10.1021/acs.jpca.5c05370,Two Competing Excited-State Intramolecular Proton Transfer Pathways in AHMD,2025,(none),,unknown,W4416332636,
10.1021/acs.jpca.5c05510.s002,https://doi.org/10.1021/acs.jpca.5c05510.s002,Benchmarking Electronic-Structure Methods for theDescription of Dark Transitions in Carbonyls at and Beyond the Franck–CondonPoint,2025,(none),,no OA PDF URL known,W7111391771,no OA URL in index
10.1021/acs.jpca.5c05513,https://doi.org/10.1021/acs.jpca.5c05513,"The Electronic Structure of Boron, Aluminum, and Scandium Monoxides: BO, AlO, and ScO",2025,(none),,unknown,W4414536538,
10.1021/acs.jpca.5c06689,https://doi.org/10.1021/acs.jpca.5c06689,"Role of Cd
                    2+
                    and Ag
                    +
                    as Codoping Species in the Mechanism of the Luminescence Activation/Deactivation of a Ln
                    3+
                    @UiO-66-(COOH)
                    2
                    Chemical Sensor: A Quantum Chemistry Approach",2025,(none),,unknown,W4417429222,
10.1021/acs.jpca.5c07496,https://doi.org/10.1021/acs.jpca.5c07496,Theoretical Study on the Nitrile Substitution Effect in a Schiff Base Derivative: Suppression of Excited-State Intramolecular Proton Transfer and Dominance of Torsional Decay,2025,(none),,unknown,W4417439596,
10.1021/acs.jpca.5c08237,https://doi.org/10.1021/acs.jpca.5c08237,Excited-State Relaxation Mechanism of 5-Hydroxyflavone: A CASPT2 Investigation in the Microsolvated Aqueous Surrounding,2026,(none),,unknown,W7132833229,
10.1021/acs.jpca.6b10687,https://doi.org/10.1021/acs.jpca.6b10687,Structure and Electronic Transitions of C<sub>7</sub>H<sub>4</sub>O<sub>2</sub><sup>+</sup> and C<sub>7</sub>H<sub>5</sub>O<sub>2</sub><sup>+</sup> Ions: Neon Matrix and Theoretical Studies,2016,(none),,no OA PDF URL known,W2557536494,no OA URL in index
10.1021/acs.jpca.6c01999,https://doi.org/10.1021/acs.jpca.6c01999,A Wave Function Theory and Density Functional Theory Investigation of Ground and Excited States of HfSi,2026,(none),,unknown,W7163570672,
10.1021/acs.jpca.6c02386,https://doi.org/10.1021/acs.jpca.6c02386,"1-, 2-, and 3-Electron Pancake Bonds in Covalent Scaffolds: Redox Modulation of Through-Space Exchange in Blatter Diradicals",2026,(none),,unknown,W7167932438,
10.1021/acs.jpcc.6b10391,https://doi.org/10.1021/acs.jpcc.6b10391,Electronic Transition of Ferrocenium: Neon Matrix and CASPT2 Studies,2016,(none),,no OA PDF URL known,W2557630530,no OA URL in index
10.1021/acs.jpclett.5c01270,https://doi.org/10.1021/acs.jpclett.5c01270,Hydrogen-Bonded Complexes of Methylnitrene,2025,(none),,unknown,W4411984214,
10.1021/acs.jpclett.5c02294,https://doi.org/10.1021/acs.jpclett.5c02294,"Photodissociation Pathways of Methanol: Dissociation, Roaming, and Migration",2025,(none),,unknown,W4415473661,
10.1021/acs.jpclett.5c02294.s001,https://doi.org/10.1021/acs.jpclett.5c02294.s001,"PhotodissociationPathways of Methanol: Dissociation,Roaming, and Migration",2025,(none),,no fetchable PDF and no Europe PMC full text,W7111306693,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/acs.jpclett.5c03195,https://doi.org/10.1021/acs.jpclett.5c03195,Nonadiabatic Dynamics of the Molecular Tully Models with the Mixed-Reference Spin-Flip Time-Dependent Density Functional Theory,2025,(none),,unknown,W4417297565,
10.1021/acs.organomet.6c00039,https://doi.org/10.1021/acs.organomet.6c00039,"Molecular
Organo-Dysprosium Polychalcogenides Isolated
from Inverse-Sandwich Dysprosium Arene Complexes with Chalcogens",2026,(none),,unknown,W7167475633,
10.1021/ja106902s.s001,https://doi.org/10.1021/ja106902s.s001,Intermediate-Valence Tautomerism in Decamethylytterbocene Complexes of Methyl-Substituted Bipyridines,2011,(none),,no fetchable PDF and no Europe PMC full text,W4299403217,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/ja809624w,https://doi.org/10.1021/ja809624w,Decamethylytterbocene Complexes of Bipyridines and Diazabutadienes: Multiconfigurational Ground States and Open-Shell Singlet Formation,2009,(none),,no fetchable PDF and no Europe PMC full text,W1980734759,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/jacs.5c03770,https://doi.org/10.1021/jacs.5c03770,Photochemistry of Ni(II) Tolyl Chlorides Supported by Bidentate Ligand Frameworks,2025,(none),,unknown,W4410286619,
10.1021/jacs.5c12079.s002,https://doi.org/10.1021/jacs.5c12079.s002,Molecular Models ofLayered Ternary Cu<sub>2</sub>MoS<sub>4</sub> Reveal Sulfur-BasedH<sub>2</sub> Evolution Pathway,2025,(none),,no fetchable PDF and no Europe PMC full text,W7110828816,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/jacs.5c12079.s003,https://doi.org/10.1021/jacs.5c12079.s003,Molecular Models ofLayered Ternary Cu<sub>2</sub>MoS<sub>4</sub> Reveal Sulfur-BasedH<sub>2</sub> Evolution Pathway,2025,(none),,no fetchable PDF and no Europe PMC full text,W7111092150,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/jacs.5c15650,https://doi.org/10.1021/jacs.5c15650,Super-reduction of Polyoxometalates: Unlocking the Oxidation State of Metalate Centers down to (III),2025,(none),,unknown,W4416084540,
10.1021/jp108460v,https://doi.org/10.1021/jp108460v,CASPT2 Study of the Potential Energy Surface of the HSO<sub>2</sub> System,2011,(none),,no OA PDF URL known,W2324822375,no OA URL in index
10.1021/jp509561v,https://doi.org/10.1021/jp509561v,Electronic Absorption Spectra of H<sub>2</sub>C<sub>6</sub>O<sup>+</sup> Isomers: Produced by Ion–Molecule Reactions,2014,(none),,no OA PDF URL known,W2329654758,no OA URL in index
10.1021/jp803213j,https://doi.org/10.1021/jp803213j,New Relativistic Atomic Natural Orbital Basis Sets for Lanthanide Atoms with Applications to the Ce Diatom and LuF<sub>3</sub>,2008,(none),,no fetchable PDF and no Europe PMC full text,W2045238539,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/jp8037335,https://doi.org/10.1021/jp8037335,Ground- and Excited-State Aromaticity and Antiaromaticity in Benzene and Cyclobutadiene,2008,(none),,no fetchable PDF and no Europe PMC full text,W2016465083,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1021/jp807172h,https://doi.org/10.1021/jp807172h,Mechanism of Spectral Tuning Going from Retinal in Vacuo to Bovine Rhodopsin and its Mutants: Multireference ab Initio Quantum Mechanics/Molecular Mechanics Studies,2008,(none),,no fetchable PDF and no Europe PMC full text,W2054504985,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1039/c8cp00602d,https://doi.org/10.1039/c8cp00602d,Impacts of hydroxylation on the photophysics of chalcones: insights into the relation between the chemical composition and the electronic structure,2018,(none),,no fetchable PDF and no Europe PMC full text,W2788209667,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1039/d1dt02038b,https://doi.org/10.1039/d1dt02038b,"From tetranuclear to pentanuclear [Co–Ln] (Ln = Gd, Tb, Dy, Ho) complexes across the lanthanide series: effect of varying sequence of ligand addition",2021,(none),,no fetchable PDF and no Europe PMC full text,W3187986025,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1039/d3cp01243c,https://doi.org/10.1039/d3cp01243c,The impact of spin-vibrational coupling on magnetic relaxation of a Co( <scp>ii</scp> ) single-molecule magnet,2023,(none),,no fetchable PDF and no Europe PMC full text,W4367721402,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1063/1.5048924,https://doi.org/10.1063/1.5048924,Modeling core-level excitations with variationally optimized reduced-density matrices and the extended random phase approximation,2018,(none),,"HTML landing page, not a PDF",W2904017371,1 PDF location(s) + Europe PMC tried; ValueError: not a PDF (probably an HTML landing page) | no Europe PMC OA full text
10.1080/00268976.2015.1087601,https://doi.org/10.1080/00268976.2015.1087601,Theoretical study of vibronic perturbations in magnesium carbide,2015,(none),,no OA PDF URL known,W2214091558,no OA URL in index
10.1080/00268976.2016.1164348,https://doi.org/10.1080/00268976.2016.1164348,<i>Ab initio</i>insights on photophysics of 9-methylhypoxanthine,2016,(none),,no fetchable PDF and no Europe PMC full text,W2324347976,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1080/00268976.2016.1201600,https://doi.org/10.1080/00268976.2016.1201600,On the performance of DFT/MRCI-R and MR-MP2 in spin–orbit coupling calculations on diatomics and polyatomic organic molecules,2016,(none),,no fetchable PDF and no Europe PMC full text,W2466175445,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1080/00268976.2016.1213436,https://doi.org/10.1080/00268976.2016.1213436,"Theoretical insights into excited-state intramolecular proton transfer in 1,8-dihydroxydibenzo[<i>a,h</i>]phenazine",2016,(none),,no fetchable PDF and no Europe PMC full text,W2487248808,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1080/00268976.2025.2563030,https://doi.org/10.1080/00268976.2025.2563030,Unveiling the mechanism of <i>o</i> -fluorophenol ultrafast photodecay using on-the-fly nonadiabatic dynamics,2025,(none),,no fetchable PDF and no Europe PMC full text,W4414848445,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.1089/aid.1.1983.1.107,https://doi.org/10.1089/aid.1.1983.1.107,THE ACQUIRED IMMUNODEFICIENCY SYNDROME: A DISCUSSION OF ETIOLOGIC HYPOTHESES,1983,(none),,no OA PDF URL known,W2229452080,no OA URL in index
10.11588/heidok.00037525,https://doi.org/10.11588/heidok.00037525,"Experimental Studies on the Ligand Field Effects and Magnetic Interactions in 3d, 4f and 5d Mono- and Heterometallic Molecular Compounds",2025,(none),,no fetchable PDF and no Europe PMC full text,W7104249822,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.3389/fchem.2025.1603873.s001,https://doi.org/10.3389/fchem.2025.1603873.s001,Table 1_Theoretical laser cooling feasibility study of ZrH molecule at the fine structure level.docx,2025,(none),,no fetchable PDF and no Europe PMC full text,W7111243622,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.3389/fchem.2025.1603873.s002,https://doi.org/10.3389/fchem.2025.1603873.s002,Table 2_Theoretical laser cooling feasibility study of ZrH molecule at the fine structure level.docx,2025,(none),,no fetchable PDF and no Europe PMC full text,W7110824346,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.3389/fphy.2025.1635859.s001,https://doi.org/10.3389/fphy.2025.1635859.s001,Data Sheet 1_Theoretical study of spin-orbit coupling and laser cooling for HBr molecule with first-overtone spectral calculations.docx,2025,(none),,no fetchable PDF and no Europe PMC full text,W7110986306,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48420/30888737.v1,https://doi.org/10.48420/30888737.v1,"Research data for ""Hydration States of Transplutonium Ions Alter Electronic Structure""",2025,(none),,no fetchable PDF and no Europe PMC full text,W7115938972,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48550/arxiv.2601.19699,https://doi.org/10.48550/arxiv.2601.19699,Orthogonally Constrained CASSCF Framework: Newton-Raphson Orbital Optimization and Nuclear Gradients,2026,(none),,no fetchable PDF and no Europe PMC full text,W7125943486,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48550/arxiv.2602.04420,https://doi.org/10.48550/arxiv.2602.04420,UGA-SSMRPT2 -- A Multireference Perturbation Theory Predicting Accurate Electronic Excitation Energies in Diverse Molecular Systems,2026,(none),,no OA PDF URL known,W7128057212,no OA URL in index
10.48550/arxiv.2602.07746,https://doi.org/10.48550/arxiv.2602.07746,Charge Transfer with a Spin. I: A Generalized CASSCF Framework for Investigating Charge Transfer in the Presence of Spin-Orbit Coupling,2026,(none),,no fetchable PDF and no Europe PMC full text,W7128540746,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48550/arxiv.2602.07750,https://doi.org/10.48550/arxiv.2602.07750,Charge Transfer with a Spin. II: A Framework for Diabatization which Localizes Charge and Spin,2026,(none),,no fetchable PDF and no Europe PMC full text,W7128522335,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48550/arxiv.2602.24236,https://doi.org/10.48550/arxiv.2602.24236,Relativistic Complete Active Space Self-consistent-Field Method with a Hierarchy of Exact Two-Component Hamiltonians,2026,(none),,no fetchable PDF and no Europe PMC full text,W7133209380,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.48550/arxiv.2603.07089,https://doi.org/10.48550/arxiv.2603.07089,\textit{Ab Initio} Adiabatic Potential Energy Surfaces and Non-adiabatic Couplings for O$_3$: Construction of Four State Diabatic Hamiltonian,2026,(none),,no OA PDF URL known,W7134851058,no OA URL in index
10.5281/zenodo.18434136,https://doi.org/10.5281/zenodo.18434136,Sector-Aware VQE for Reduced Fe₄N₂ Active-Space Models: Correction of a Prior Redox-Driven Electronic-Structure Collapse Claim,2026,(none),,no fetchable PDF and no Europe PMC full text,W7126169604,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.5281/zenodo.18877522,https://doi.org/10.5281/zenodo.18877522,BOMD Structural Analysis of Dark and Bright State of Channelrhodopsin 2,2026,(none),,no fetchable PDF and no Europe PMC full text,W7134034811,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.5281/zenodo.18886878,https://doi.org/10.5281/zenodo.18886878,Nonadiabatic Surface Hopping Simulation Of Channelrhodopsin 2,2026,(none),,no fetchable PDF and no Europe PMC full text,W7134032243,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.5281/zenodo.18919025,https://doi.org/10.5281/zenodo.18919025,The multiplet electronic structure of U ion: relativistic all-electron ab initio approach,2024,(none),,no OA PDF URL known,W7134244929,no OA URL in index
10.5281/zenodo.18941709,https://doi.org/10.5281/zenodo.18941709,"ASDM-I (January 16, 2026 Canonical Version) – Published by Whirl ASI / DeepPsyche.",2026,(none),,no OA PDF URL known,W7134804998,no OA URL in index
10.5281/zenodo.3380352,https://doi.org/10.5281/zenodo.3380352,Accurate Predictions of Volatile Plutonium Thermodynamic Properties: Dataset,2019,(none),,no OA PDF URL known,W4393548290,no OA URL in index
10.5281/zenodo.4903494,https://doi.org/10.5281/zenodo.4903494,Neural Network Fitted Potential Energy Surface for Ozone,2021,(none),,no OA PDF URL known,W4393765757,no OA URL in index
10.60893/figshare.jcp.30625022.v1,https://doi.org/10.60893/figshare.jcp.30625022.v1,Photodissociation Dynamics of Energized H$_2$COO: Formation of Molecular Products,2025,(none),,no OA PDF URL known,W7108323272,no OA URL in index
10.60893/figshare.jcp.c.8255698,https://doi.org/10.60893/figshare.jcp.c.8255698,<strong>Dynamics studies for the C(<sup>3</sup>P) + H<sub>2</sub> reaction: Based on new global diabatic potential energy surfaces</strong>,2026,(none),,no OA PDF URL known,W7128634780,no OA URL in index
10.70675/2bb8c4bdz7019z4f58z8945zffc33131e7a8,https://doi.org/10.70675/2bb8c4bdz7019z4f58z8945zffc33131e7a8,Approche théorique des collisions réactives de type ion-molécule,2014,(none),,no OA PDF URL known,W7147120367,no OA URL in index
10.70675/6116113fz4cc1z49c5z9477z20d367f40cdf,https://doi.org/10.70675/6116113fz4cc1z49c5z9477z20d367f40cdf,Spectroscopie électronique et couplage spin-orbite de composés organométalliques,2013,(none),,no fetchable PDF and no Europe PMC full text,W7143723207,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
10.3891/acta.chem.scand.51-0984,https://doi.org/10.3891/acta.chem.scand.51-0984,Photochemical Nitration by Tetranitromethane. Part XL. Regiochemistry of Trinitromethyl Attachment in the Photolysis of Benzofuran with Tetranitromethane.,1997,actachemscand.org,http://actachemscand.org/pdf/acta_vol_51_p0984-0999.pdf,connection refused / DNS failure,W2040527857,"1 PDF location(s) + Europe PMC tried; ConnectionError: HTTPConnectionPool(host='actachemscand.org', port=80): Max retries exceeded with url: /pdf/acta_vol_51_p0984-0999.pdf (Caused by NameResolutionError(""HTTPConnection(host='actachemscand.org', port=80): Failed to resolve 'actachemscand.org' ([Errn"
10.1002/2016ms000763,https://doi.org/10.1002/2016ms000763,Moisture‐radiative cooling instability,2016,agupubs.onlinelibrary.wiley.com,https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2016MS000763,HTTP 403 (publisher blocks scripted clients),W2523014656,HTTPError: 403 Client Error: Forbidden for url: https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2016MS000763
10.1063/1.1290124,https://doi.org/10.1063/1.1290124,A new method of calculation of Franck–Condon factors which includes allowance for anharmonicity and the Duschinsky effect: Simulation of the He I photoelectron spectrum of ClO2,2000,aip.scitation.org,https://aip.scitation.org/doi/pdf/10.1063/1.1290124,"HTML landing page, not a PDF",W1971661511,ValueError: response is not a PDF (probably an HTML landing page)
10.1063/1.1323264,https://doi.org/10.1063/1.1323264,Electric field effects on the ionic-neutral curve crossing of alkali halide molecules,2000,aip.scitation.org,https://aip.scitation.org/doi/pdf/10.1063/1.1323264,"HTML landing page, not a PDF",W2053907135,ValueError: response is not a PDF (probably an HTML landing page)
10.1063/1.1355986,https://doi.org/10.1063/1.1355986,Optical properties of peroxy radicals in silica: Multiconfigurational perturbation theory calculations,2001,aip.scitation.org,https://aip.scitation.org/doi/pdf/10.1063/1.1355986,"HTML landing page, not a PDF",W2084250155,ValueError: response is not a PDF (probably an HTML landing page)
10.1063/1.2128335,https://doi.org/10.1063/1.2128335,Theoretical Investigation of HS2 Radical and Its Positive Ion,2005,aip.scitation.org,https://aip.scitation.org/doi/pdf/10.1063/1.2128335,no fetchable PDF and no Europe PMC full text,W1534029509,0 PDF location(s) + Europe PMC tried; no Europe PMC OA full text
