key,doi,year,title,index_status,si_category,si_needed_for,si_fetch_attempted,si_fetch_result,rows_in_aimdb,rows_without_active_space,evidence
W2194352041,10.1039/c5sc04461h,2015,Guest-dependent single-ion magnet behaviour in a cobalt( <scp>ii</scp> ) metal–organic framework,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W2223984243,10.1039/c5cp07452e,2016,Ammonia-modified Co( <scp>ii</scp> ) sites in zeolites: spin and electron density redistribution through the Co <sup>II</sup> –NO bond,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",yes,0 files,1,1,"Co(II)-NO adduct sites in zeolites at CASSCF/CASPT2 with a VB-like resonance analysis. The active-space COMPOSITION is fully stated (all Co 3d + NO pi*/pi/sigma-lone-pair + double-shell 3d', standard TM rules) but the numeric (nel,norb) is per-model and only in the ESI Table S4, which the si command could not fetch - so recorded as partial with composition and empty nel/norb. Captured the transfer"
W2278356249,10.1038/ncomms10467,2016,A four-coordinate cobalt(II) single-ion magnet with coercivity and a very high energy barrier,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W2542614087,10.1038/s41467-017-00069-7,2017,Probing ultrafast ππ*/nπ* internal conversion in organic chromophores via K-edge resonant absorption,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,Thymine pi-pi*/n-pi* K-edge internal conversion; CASPT2. Exact active space SI-only (not in extracted text). Organic. extracted_partial.
W2588800132,10.1039/c6sc05188j,2017,Reversible solvatomagnetic switching in a single-ion magnet from an entatic state,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W2891343486,10.1039/c8sc02820f,2018,Effects of coordination sphere on unusually large zero field splitting and slow magnetic relaxation in trigonally symmetric molecules,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W2900315202,10.1039/c8sc04384a,2018,Rare “Janus”-faced single-molecule magnet exhibiting intramolecular ferromagnetic interactions,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W2998328894,10.26434/chemrxiv.11446224.v1,2019,Resolving the Quadruple Bonding Conundrum in C2 Using Insights Derived from Excited State Potential Energy Surfaces: A Molecular Orbital Perspective,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",yes,0 files,1,1,"Full-valence CASSCF/RASSCF/MRCI study of C2 high-spin sigma states. Real compound and a determinate full-valence (8,8) space, plus an unusually clear RASSCF protocol (pi occupations pinned to remove pi bonding). But the preprint has no computational-details section: no basis set, no software, no numerical active space anywhere, and an SI fetch found nothing. 1 partial row."
W4226087386,10.1039/d2qi00275b,2022,Large easy-axis magnetic anisotropy in a series of trigonal prismatic mononuclear cobalt( <scp>ii</scp> ) complexes with zero-field hidden single-molecule magnet behaviour: the important role of the distortion of the coordination sphere and intermolecular interactions in the slow relaxation,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM single-ion/molecule magnet; CASSCF/NEVPT2 anisotropy captured but numeric active space is SI-only (not in extracted main text). extracted_partial.
W4319984943,10.3390/molecules28041668,2023,Photodynamics of the Molecular Ruby [Cr(ddpd)2]3+,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",yes,0 files,1,1,"1 row; Cr(III) d3, state ordering captured, active space in unfetchable MDPI SI"
W4321092762,10.3390/ijms24044001,2023,Understanding the Exchange Interaction between Paramagnetic Metal Ions and Radical Ligands: DFT and Ab Initio Study on Semiquinonato Cu(II) Complexes,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,Cu-semiquinone exchange; space in SI
W4394835851,10.1039/d4cp00830h,2024,Photolytic splitting of homodimeric quinone-derived oxetanes studied by ultrafast transient absorption spectroscopy and quantum chemistry,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,"Homodimeric quinone-derived oxetane (NQ-Ox) photolytic splitting; CASSCF/CASPT2. Numeric active space is ESI-only (not fetched), so nel/norb left empty. Organic. extracted_partial."
W4406756952,10.1021/acs.inorgchem.4c03845,2025,NO Oxidation States in Nonheme Iron Nitrosyls: A DMRG-CASSCF Study of {FeNO}<sup>6–10</sup> Complexes,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM system+recipe captured; exact space in table/SI
W4410219934,10.1021/acs.jpca.5c01107,2025,Strong Ferromagnetic Coupling between Co and Co<sup>2+</sup> with Odd Electron (Anti)aromatic Radicals via Noncovalent Interaction,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,Co-radical exchange; space in SI
W7131797215,10.21203/rs.3.rs-6722143/v1,2026,Real-time Crystallographic Capture of Fe–NO Bond Photodissociation in a Nonheme Iron Nitrosyl Complex,extracted_partial,partial_active_space_empty,"numeric active space — SI-only, so nel/norb left empty on the row(s)",no,not attempted,1,1,TM system+recipe captured; exact space in table/SI
W2019980491,10.1039/c3ra22712j,2013,"Emission spectroscopy of uranium(iv) compounds: a combined synthetic, spectroscopic and computational study",extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,"1 row; active space captured, numeric state tables not transcribed (OCR/ESI limits)"
W2080870617,10.1063/1.481234,2000,Theoretical investigation of the eight low-lying electronic states of the <i>cis</i>- and <i>trans</i>-nitric oxide dimers and its isomerization using multiconfigurational second-order perturbation theory (CASPT2),extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,"1 row; active space captured, numeric state tables not transcribed (OCR/ESI limits)"
W2114888214,10.1039/c5sc02342d,2015,Non-decarbonylative photochemical versus thermal activation of Bu <sub>4</sub> N[Fe(CO) <sub>3</sub> (NO)] – the Fe-catalyzed Cloke–Wilson rearrangement of vinyl and arylcyclopropanes,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,"1 row; active space captured, numeric state tables not transcribed (OCR/ESI limits)"
W2787329441,10.1039/c7cp08472b,2018,Control of triplet state generation in heavy atom-free BODIPY–anthracene dyads by media polarity and structural factors,extracted_partial,partial_supporting_data,supporting numerical detail — SI-only (unfetchable RSC ESI); the active space itself was captured,no,not attempted,1,0,"1 lean row; CASSCF is supporting analysis, details in unfetchable RSC ESI"
W2788624090,10.1021/acs.jpca.7b12652,2018,"Hyper Open-Shell Excited Spin States of Transition-Metal Compounds: FeF<sub>2</sub>, FeF<sub>2</sub>···Ethane, and FeF<sub>2</sub>···Ethylene",extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,1,system + space captured; some details in SI
W2945154241,10.1039/c9dt01069f,2019,Periodic trends and hidden dynamics of magnetic properties in three series of triazacyclononane lanthanide complexes,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,6,0,"Six rows added, one per lanthanide (Tb-Yb) with its (n,7) 4f active space and the CASSCF/RASSI/SINGLE_ANISO protocol across three ligand series. Per-complex susceptibility and crystal-field values are in figures and SI Table S2, not the extracted text, so the rows are partial."
W3004602927,10.1021/acs.joc.0c00222,2020,Concerted [4 + 2] and Stepwise (2 + 2) Cycloadditions of Tetrafluoroethylene with Butadiene: DFT and DLPNO-UCCSD(T) Explorations,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,"TFE + butadiene cycloaddition extracted for its per-species active-space sizing ((2,2)/(4,4)/(6,6)) and the NEVPT2-versus-DLPNO-UCCSD(T) cross-check; numeric barriers live in an SI figure."
W3046349162,10.1039/d0cp04056h,2020,Electrically tuned hyperfine spectrum in neutral Tb( <scp>ii</scp> )(Cp <sup>iPr5</sup> ) <sub>2</sub> single-molecule magnet,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,system + space captured; some details in SI
W3197593438,10.1021/acs.jpca.1c05409,2021,"Reactions of U<sup>+</sup> with H<sub>2</sub>, D<sub>2</sub>, and HD Studied by Guided Ion Beam Tandem Mass Spectrometry and Theory",extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,1,"U+/UH+ extracted with the 5f+6d+7s active space kept consistent between atom and molecule, the state-averaging scheme and the 0.852 eV spin-orbit correction; per-state tables are in the SI."
W4280532200,10.1021/jacs.2c02818,2022,Palladium Terminal Imido Complexes with Nitrene Character,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,"1 row; details in ACS SI, text tab-mangled"
W4287578679,10.1063/5.0101838,2022,Computation of NMR shieldings at the CASSCF level using gauge-including atomic orbitals and Cholesky decomposition,extracted_partial,partial_supporting_data,shielding values and geometries — supporting material only; the main text also never names the benchmark-set basis set,yes,"1 file (user-supplied, batch 3)",28,0,"CD-GIAO-CASSCF NMR shielding implementation paper. Table II gives an explicit molecule-to-active-space mapping for a 26-molecule organic benchmark set (rows a-z) plus the formamide/formaldoxime CASSCF(6,5) accuracy pair (rows aa/ab). Partial: shielding values and geometries live in the supporting material, and the main text never names the basis set used for the benchmark set (only basis-function "
W4390291761,10.1039/d3dt03557c,2023,Insight into ferromagnetic interactions in Cu <sup>II</sup> –Ln <sup>III</sup> dimers with a compartmental ligand,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,1,system + space captured; some details in SI
W4402117967,10.1021/acs.inorgchem.4c01901,2024,"Structure, Covalency, and Paramagnetism of Homoleptic Actinide and Lanthanide Amidinate Complexes",extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,1,system + space captured; some details in SI
W4411874770,10.1039/d5cp00881f,2025,Excited-state methods based on state-averaged long-range CASSCF short-range DFT,extracted,partial_supporting_data,"per-molecule active spaces for Thiel's 139-excitation benchmark set — ESI only, so that subset yielded no rows",no,not attempted,4,0,"CAS-srDFT excited-state method paper with three real applications: divalent first-row hexaaqua complexes of Fe/Co/Ni at minimal 3d (n,5) active spaces with DDCI3+Q reference excitation energies (rows -e/-f/-g), and the ethylene twist at CAS(2,2) with MRCI+Q references (row -a). Thiel's benchmark set (139 singlet excitations) not row-extracted: per-molecule active spaces are in the ESI only, and th"
W4417171618,10.48550/arxiv.2504.20778,2025,A multireference picture of electronic excited states in vanadyl and copper tetraphenyl porphyrin molecular qubits,extracted_partial,partial_supporting_data,state/energy/crystal-field tables — SI-only; active space itself was captured,no,not attempted,1,0,system + space captured; some details in SI
W2222860091,10.1039/c5cp04690d,2016,Intramolecular charge transfer in aminobenzonitriles and tetrafluoro counterparts: fluorescence explained by competition between low-lying excited states and radiationless deactivation. Part I: A mechanistic overview of the parent system ABN,extracted,extracted_minor_gap,auxiliary tables only — row is complete without them,no,not attempted,1,0,"ABN intramolecular-charge-transfer/dual-fluorescence mechanism at MS-CASPT2//CASSCF. Recorded the CAS(12,11) (benzene pi/pi* + amino-N lone pair + cyano pi/pi*, the cyano orbitals for the pi-sigma* ICT(CN) state) and the mechanistic conclusions (LE vs twisted-ICT, partially-twisted minimum an artefact). Part I; tetrafluoro derivatives in Part II. Per-state energies in ESI/figures."
W2527752769,10.1039/c6sc03621j,2016,Hydroxide-bridged five-coordinate Dy <sup>III</sup> single-molecule magnet exhibiting the record thermal relaxation barrier of magnetization among lanthanide-only dimers,extracted,extracted_minor_gap,auxiliary tables only — row is complete without them,no,not attempted,1,0,1 row; Dy SMM active-space expansion protocol; ESI details unavailable (RSC)
W4238985669,10.26434/chemrxiv.14103740.v2,2021,Electronic Structure of Ytterbium(III) Solvates – A Combined Spectro-scopic and Theoretical Study,extracted,extracted_minor_gap,auxiliary tables only — row is complete without them,no,not attempted,7,0,"CASSCF/NEVPT2 + QDPT study of seven Yb(III) solvates. Explicit CAS(13,7) over the 4f manifold, ROKS starting orbitals, ORCA 4.2, SARC2-DKH-QZVP/DKH-def2-TZVP, DKH2, RI-JK, with Yb-O distances for every solvate and crystal-field splittings for the two aqua ions in the main text. Per-solvate microstate tables are in an SI not included in the PDF. 7 rows."
W4413331618,10.2139/ssrn.5396713,2025,"The Synthesis and Magnetic Properties of Tetranuclear Heterometallic {Criii2dyiii2} and {Mniii2lniii2} {Ln = Dy, Gd) Complexes Using Asymmetric Aminepolyalcohol Ligands",extracted,extracted_minor_gap,auxiliary tables only — row is complete without them,no,not attempted,3,0,"CASSCF/RASSI-SO/SINGLE_ANISO study of {Cr2Dy2} (1, 2) and {Mn2Dy2} (3). Explicit CAS(9,7) with full root counts (21 sextets, 224 quartets, 490 doublets), MOLCAS 8.2, per-element ANO-RCC contractions, DKH, and the diamagnetic-substitution protocol (Cr/Mn->Zn, second Dy->Lu) spelled out. Main-text Table 1 gives the KD ladders; g-tensor tables are in an SI not in the PDF. 3 rows."
W2903558328,10.1021/acs.jctc.8b01205,2019,Reference Energies for Double Excitations,extracted,resolved_by_si,active space / geometry / software — recovered from the fetched SI,yes,1 files,14,0,"Reference Energies for Double Excitations: 14 molecules, 20 transitions with significant double-excitation character. All 14 rows added (a-n) with active spaces, TBEs and per-molecule method behaviour; active spaces for benzene, hexatriene, pyrazine, tetrazine and nitrosomethane were recovered from the fetched SI. Key transferable finding recorded in every active_space_protocol field: sigma/sigma*"
W2904291814,10.1021/acs.inorgchem.8b02830,2018,Tetrathiafulvalene-Based Helicene Ligand in the Design of a Dysprosium Field-Induced Single-Molecule Magnet,extracted,resolved_by_si,active space / geometry / software — recovered from the fetched SI,yes,1 files,1,0,"[Dy(hfac)3(L)] extracted; the (9,7) active space and full root counts were recovered from the fetched Supporting Information, together with the ground Kramers doublet g tensor and composition."
W2996644751,10.1021/acs.jctc.9b01255,2020,CASSCF with Extremely Large Active Spaces Using the Adaptive Sampling Configuration Interaction Method,extracted,resolved_by_si,active space / geometry / software — recovered from the fetched SI,yes,4 files,1,0,1 row added (Fe(II) porphyrin); NiC benchmark and periacenes not usable (no TM state ordering / not TM)
W4313453252,10.1021/acs.inorgchem.2c03716,2023,"One Bridge, Three Bonds: A Frontier in Multiple Bonding in Heterobimetallic Complexes",extracted,resolved_by_si,active space / geometry / software — recovered from the fetched SI,yes,1 files,1,0,"1 row; Zr-Co triple bond, active spaces from fetched SI"
