file,category,reason,location
alberto mora teledry.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/alberto mora teledry.pdf
cl5d_paper_19.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/cl5d_paper_19.pdf
God Does Not Play Dice part3.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/God Does Not Play Dice part3.pdf
inZORi_ActiveSpace_ChemistryConsistent_Zenodo.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZORi_ActiveSpace_ChemistryConsistent_Zenodo.pdf
inZORi_ActiveSpace_Comparative_Zenodo.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZORi_ActiveSpace_Comparative_Zenodo.pdf
inZORi_ActiveSpace_Comparative_Zenodo (1).pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZORi_ActiveSpace_Comparative_Zenodo (1).pdf
inZOR-ND_Ethylene_3D_Quasidegenerate_Gap_Structure_Zenodo.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZOR-ND_Ethylene_3D_Quasidegenerate_Gap_Structure_Zenodo.pdf
inZOR-ND_Photochem_MultiGeom_ActiveSpace_Zenodo.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZOR-ND_Photochem_MultiGeom_ActiveSpace_Zenodo.pdf
inZOR-ND_QC_Gaps_H2_Ethylene_Unified_Zenodo.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/inZOR-ND_QC_Gaps_H2_Ethylene_Unified_Zenodo.pdf
PAPER_560_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_560_v0_1.pdf
PAPER_563_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_563_v0_1.pdf
PAPER_568_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_568_v0_1.pdf
PAPER_570_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_570_v0_1.pdf
PAPER_574_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_574_v0_1.pdf
PAPER_596_v0_1.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/PAPER_596_v0_1.pdf
QENEX_LAB_v2_Summary_Card.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/QENEX_LAB_v2_Summary_Card.pdf
report.pdf,needs-review,Self-published Zenodo/figshare/preprint item whose provenance I could not verify as peer-reviewed literature; several cite mainly their own Zenodo deposits. Flagged for a human decision rather than imported,papers/unindexed/needs-review/report.pdf
lanl_a_2670563_sm5234.docx,si-unmatched,Supporting-information .docx ('Achieving Chemical Accuracy for the First Two Singlet Excited States...'); parent paper not confidently identifiable via OpenAlex,papers/unindexed/si-unmatched/lanl_a_2670563_sm5234.docx
Excited_states_energy.csv,datasets,"Bulk screening table: 1581 CSD compounds with TDDFT/SA-CASSCF/NEVPT2 S1,S2,T1,T2 energies and oscillator strengths. DECIDED 2026-07-29: not imported. Two blockers - (1) the only DOI it carries is the crystal structure's source publication (259 of them Acta Cryst structure reports), not the source of the computed energies, so using it as reference_doi would misattribute; (2) the table contains no active space, basis, software or method, which is the information aimdb exists to hold. User instruction: ignore the table, do not merge.",papers/unindexed/datasets/Excited_states_energy.csv
RASP-CRYPTOCHROME-TRIAD-2026-03-07.txt,needs-review,"Unpublished draft ('YASA Development Studio', Draft v0.8) on aromatic triads in quantum biology; not peer-reviewed literature",papers/unindexed/needs-review/RASP-CRYPTOCHROME-TRIAD-2026-03-07.txt
RASP-ORCH-OR-BRIDGE-2026-03-02.txt,needs-review,Unpublished draft from the same series (Orch-OR bridge); not peer-reviewed literature,papers/unindexed/needs-review/RASP-ORCH-OR-BRIDGE-2026-03-02.txt
