entry_id,structure_file,structure_provenance,compound_name,system_class,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model,open_access,removed_reason,removed_at
W2135362248-k,,,Cu-O2 adduct model 1c,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,10,10,expanded Cu-O2 valence space,,"1,3",,,Reported CASPT2 singlet-triplet splitting: -5.4 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-l; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-m,,,Cu-oxyl model 2a,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,2,2,frontier Cu-O2 pair,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 2.8 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-p; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-n,,,Cu-oxyl model 2a,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,8,8,Cu-O2 valence subset,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 9.7 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-p; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-o,,,Cu-oxyl model 2a,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,10,10,expanded Cu-O2 valence space,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 4.7 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-p; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-q,,,Cu-oxyl model 2b,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,2,2,frontier Cu-O2 pair,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 3.6 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-t; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-r,,,Cu-oxyl model 2b,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,8,8,Cu-O2 valence subset,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 10.7 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-t; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2135362248-s,,,Cu-oxyl model 2b,molecule,,Cu,,,,,,CASSCF; CASPT2; RASSCF; RASPT2,MOLCAS 7.2,ANO; ANO-RCC,,,,10,10,expanded Cu-O2 valence space,,"1,3",,,Reported CASPT2 singlet-triplet splitting: 5.3 kcal/mol.,"Paper-level comprehensive-reread finding: Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential.",Active spaces for Cu-mediated oxygen activation (2009),10.1021/ct900282m,2009,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 10 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Systematic CAS/RAS expansions on Cu-O2 models show that small frontier spaces can give qualitatively misleading singlet-triplet gaps and that balanced metal, oxygen, and correlating orbitals are essential. Source PDF MD5 8cbac3bb976303eb7d7642dfa3eea78e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2; RASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2135362248-t; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W1971929671-b,,,WH4(H2)4 complex,molecule,WH12,W,,,,,,CASSCF; CASPT2,MOLCAS 7,ANO-RCC,Douglas-Kroll-Hess,,,10,10,WH4-centered valence space,,,,,CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1.,Paper-level comprehensive-reread finding: CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1.,Infrared spectra of WH4(H2)4 in solid hydrogen (2008),10.1021/ja077322o,2008,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 7 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1. Source PDF MD5 8f2ce30ad35cdcb24fa0f3db6b247e8c. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W1971929671-d; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W1971929671-c,,,WH4(H2)4 complex,molecule,WH12,W,,,,,,CASSCF; CASPT2,MOLCAS 7,ANO-RCC,Douglas-Kroll-Hess,,,12,12,WH4 valence plus one H2 bonding/antibonding pair,,,,,CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1.,Paper-level comprehensive-reread finding: CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1.,Infrared spectra of WH4(H2)4 in solid hydrogen (2008),10.1021/ja077322o,2008,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 7 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. CASPT2 supports the D2d WH4(H2)4 assignment of the matrix-isolation IR spectrum and predicts an average H2 binding energy of about 15 kcal mol-1. Source PDF MD5 8f2ce30ad35cdcb24fa0f3db6b247e8c. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W1971929671-d; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2119956272-a,,,bare Cu2O2^2+ model 0,molecule,,Cu,,,,,,CASSCF; CASPT2,MOLCAS,ANO BS1,,,,8,8,Cu2O2 frontier bonding/antibonding orbitals,,1,,,Bis-mu-oxo to side-on peroxo isomerization track.,CASPT2 level shift 0.1 a.u.,Cu2O2 torture-track models (2006),10.1021/jp056791e,2006,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 14 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Active-space sensitivity along the Cu2O2 bis-mu-oxo/side-on-peroxo track shows that CASPT2 over-stabilizes the bis-mu-oxo form relative to the best coupled-cluster benchmarks. Source PDF MD5 6ecffd03a8ebe82ce5fb6a23436a7b7e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2119956272-b; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2119956272-c,,,{(NH3)Cu}2O2^2+ model 1,molecule,,Cu,,,,,,CASSCF; CASPT2,MOLCAS,ANO BS1,,,,8,8,Cu2O2 frontier bonding/antibonding orbitals,,1,,,Bis-mu-oxo to side-on peroxo isomerization track.,CASPT2 level shift 0.1 a.u.,Cu2O2 torture-track models (2006),10.1021/jp056791e,2006,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 14 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Active-space sensitivity along the Cu2O2 bis-mu-oxo/side-on-peroxo track shows that CASPT2 over-stabilizes the bis-mu-oxo form relative to the best coupled-cluster benchmarks. Source PDF MD5 6ecffd03a8ebe82ce5fb6a23436a7b7e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2119956272-d; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2119956272-e,,,{(NH3)2Cu}2O2^2+ model 2,molecule,,Cu,,,,,,CASSCF; CASPT2,MOLCAS,ANO BS1,,,,8,8,Cu2O2 frontier bonding/antibonding orbitals,,1,,,Bis-mu-oxo to side-on peroxo isomerization track.,CASPT2 level shift 0.1 a.u.,Cu2O2 torture-track models (2006),10.1021/jp056791e,2006,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 14 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Active-space sensitivity along the Cu2O2 bis-mu-oxo/side-on-peroxo track shows that CASPT2 over-stabilizes the bis-mu-oxo form relative to the best coupled-cluster benchmarks. Source PDF MD5 6ecffd03a8ebe82ce5fb6a23436a7b7e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2119956272-f; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2119956272-g,,,{(NH3)3Cu}2O2^2+ model 3,molecule,,Cu,,,,,,CASSCF; CASPT2,MOLCAS,ANO BS1,,,,8,8,Cu2O2 frontier bonding/antibonding orbitals,,1,,,Bis-mu-oxo to side-on peroxo isomerization track.,CASPT2 level shift 0.1 a.u.,Cu2O2 torture-track models (2006),10.1021/jp056791e,2006,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 14 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Active-space sensitivity along the Cu2O2 bis-mu-oxo/side-on-peroxo track shows that CASPT2 over-stabilizes the bis-mu-oxo form relative to the best coupled-cluster benchmarks. Source PDF MD5 6ecffd03a8ebe82ce5fb6a23436a7b7e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2119956272-i; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W2119956272-h,,,{(NH3)3Cu}2O2^2+ model 3,molecule,,Cu,,,,,,CASSCF; CASPT2,MOLCAS,ANO BS1,,,,16,14,expanded Cu 3d/O2 valence space,,1,,,Bis-mu-oxo to side-on peroxo isomerization track.,CASPT2 level shift 0.1 a.u.,Cu2O2 torture-track models (2006),10.1021/jp056791e,2006,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 14 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Active-space sensitivity along the Cu2O2 bis-mu-oxo/side-on-peroxo track shows that CASPT2 over-stabilizes the bis-mu-oxo form relative to the best coupled-cluster benchmarks. Source PDF MD5 6ecffd03a8ebe82ce5fb6a23436a7b7e. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and, where applicable, publisher supporting information on 2026-08-06; only explicitly reported active-space sizes were recorded.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W2119956272-i; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W3011447792-a,,,V(IV)O(acac)2,molecule,VO(acac)2,V,+4,3d1,oxo; acetylacetonate,,,SA-CASSCF; NEVPT2; QDPT-SOC,ORCA,DKH-def2-TZVP; def2-TZVP/C,Douglas-Kroll-Hess (DKH2),yes,,1,5,five V 3d valence orbitals,Five-doublet state average.,2,5 doublets,doublet,Solid-angle-averaged spin/orbital moments and magnetic properties were computed from the relativistically corrected states.,"Paper-level comprehensive-reread finding: Core-valence CASCI/NEVPT2 with QDPT spin-orbit coupling reproduces V L2,3-edge absorption/XMCD band positions and signs and explains the intensity through coupled core and valence multiplets.",L2 3-edge XMCD of V(IV)/V(III) complexes (2020),10.1063/1.5129029,2020,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 16 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. Core-valence CASCI/NEVPT2 with QDPT spin-orbit coupling reproduces V L2,3-edge absorption/XMCD band positions and signs and explains the intensity through coupled core and valence multiplets. Source PDF MD5 17786f706065fad2c223533a95ea18d1. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and publisher supporting information on 2026-08-06; the supplement explicitly states SA-CASSCF(1 5); V(IV) and 3d1 are explicitly stated/arithmetic.",NEVPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W3011447792-c; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W3126055729-a,,,Mg4-ammonia complexes (a1-a6),molecule,Mg4NH3,Mg,,,,,,CASSCF; SS-CASPT2,BAGEL,cc-pVTZ,,,,6,8,eight selected Mg 3s/3p-derived occupied and virtual orbitals,"Reduced CASSCF(6,8) reference used across the Mg4-NH3 minima.",,,,CASPT2 binding energies and optimized minima.,"Paper-level comprehensive-reread finding: CASSCF/SS-CASPT2 scans show that Mg4 binding to NH3, H2O, and HF can trigger pronounced cluster and substrate bonding rearrangements, with active-space expansions used as explicit stability checks.",Bonding rearrangements triggered by Mg4 clusters (2021),10.1063/5.0038047,2021,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 8 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. CASSCF/SS-CASPT2 scans show that Mg4 binding to NH3, H2O, and HF can trigger pronounced cluster and substrate bonding rearrangements, with active-space expansions used as explicit stability checks. Source PDF MD5 643a0851d8ab92896ef01e77d26dbd53. Prior structured note retained: Manually mined by GPT-5.6 from the supplied paper and publisher supporting information on 2026-08-06; the numerical electron/orbital pair is explicitly stated in the supplement.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W3126055729-b; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W4413366155-p,,,CrB-,molecule,"CrBn (n=1-3; anion, neutral, or cation as named)",Cr,,,,C_inf_v (calculated in C2v subgroup),"Approximately twelve RASPT2/ANO-RCC points near each minimum, spaced by 0.02 A and fitted to a fourth-degree polynomial",RASPT2,OpenMolcas; CheMPS2 for DMRG; ORCA for BP86/B3LYP geometries,ANO-RCC,,no,,10,22,"Cr 3d, 4s, 4p, and 4d plus B 2s, 2p, 3s, and 3p orbitals",RAS2 has 10 orbitals and RAS3 has 12; at most two electrons excited from RAS2 to RAS3,"5,7",,5,5Pi ground state; first ADE/VDE to neutral is 1.04/1.13 eV,Paper-level comprehensive-reread finding: DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture.,Exploring the low‐lying states of CrB <i> <sub>n</sub> </i> <sup>−/0/+</sup> ( <i>n</i> = 1–3) clusters using DMRG‐CASPT2 method (2025),10.1002/vjch.70062,2025,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 12 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture. Source PDF MD5 8896f623dc8c719d8c0a412be865ff50. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W4413366155-a; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W4413366155-q,,,CrB,molecule,"CrBn (n=1-3; anion, neutral, or cation as named)",Cr,,,,C_inf_v (calculated in C2v subgroup),"Approximately twelve RASPT2/ANO-RCC points near each minimum, spaced by 0.02 A and fitted to a fourth-degree polynomial",RASPT2,OpenMolcas; CheMPS2 for DMRG; ORCA for BP86/B3LYP geometries,ANO-RCC,,no,,9,22,"Cr 3d, 4s, 4p, and 4d plus B 2s, 2p, 3s, and 3p orbitals",RAS2 has 10 orbitals and RAS3 has 12; at most two electrons excited from RAS2 to RAS3,"4,6",,6,6Sigma+ ground state; first AIE/VIE to cation is 6.65/6.65 eV,Paper-level comprehensive-reread finding: DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture.,Exploring the low‐lying states of CrB <i> <sub>n</sub> </i> <sup>−/0/+</sup> ( <i>n</i> = 1–3) clusters using DMRG‐CASPT2 method (2025),10.1002/vjch.70062,2025,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 12 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture. Source PDF MD5 8896f623dc8c719d8c0a412be865ff50. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W4413366155-b; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
W4413366155-r,,,CrB+,molecule,"CrBn (n=1-3; anion, neutral, or cation as named)",Cr,,,,C_inf_v (calculated in C2v subgroup),"Approximately twelve RASPT2/ANO-RCC points near each minimum, spaced by 0.02 A and fitted to a fourth-degree polynomial",RASPT2,OpenMolcas; CheMPS2 for DMRG; ORCA for BP86/B3LYP geometries,ANO-RCC,,no,,8,22,"Cr 3d, 4s, 4p, and 4d plus B 2s, 2p, 3s, and 3p orbitals",RAS2 has 10 orbitals and RAS3 has 12; at most two electrons excited from RAS2 to RAS3,"5,7",,7,7Sigma+ ground state,Paper-level comprehensive-reread finding: DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture.,Exploring the low‐lying states of CrB <i> <sub>n</sub> </i> <sup>−/0/+</sup> ( <i>n</i> = 1–3) clusters using DMRG‐CASPT2 method (2025),10.1002/vjch.70062,2025,"GPT-5.6 comprehensive reread (2026-08-19; records 2000-2400 audit): read all 12 local article pages, including methods, active-space/system definitions, results, tables/figures, conclusions, and references. No separate local supporting-information file was available; unsupported SI-only details were left blank. DMRG-CASPT2 calculations across CrBn clusters assign size-dependent ground states and expose changes in metal-boron bonding that are not captured by a single-reference picture. Source PDF MD5 8896f623dc8c719d8c0a412be865ff50. Prior structured note retained: Manually mined by GPT-5.6 from the comprehensively reviewed supplied full text on 2026-08-06; the numerical active-electron/active-orbital pair is explicitly stated. Full-database source audit (GPT-5.6, 2026-08-11): comprehensive reread of methods, active-space construction, state treatment, results, and conclusions; corrected or enriched source-explicit fields.",CASPT2,llm_mining,gpt-5.6,yes,Database-wide one-row-per-compound audit: method/active-space/protocol variant consolidated into W4413366155-c; all distinct information preserved on the retained row.,2026-08-20T15:13:38+00:00
